Id,topic,Label
2023-11-15_2313.txt,9,2023-11-15_2313.txt
2023-11-28_2045.txt,9,2023-11-28_2045.txt
2023-10-31_2707.txt,9,2023-10-31_2707.txt
2023-10-24_2880.txt,9,2023-10-24_2880.txt
2023-12-04_1933.txt,9,2023-12-04_1933.txt
2023-10-12_3208.txt,9,2023-10-12_3208.txt
2023-11-09_2457.txt,9,2023-11-09_2457.txt
2023-10-13_3171.txt,9,2023-10-13_3171.txt
2023-11-06_2551.txt,9,2023-11-06_2551.txt
2023-10-23_2904.txt,9,2023-10-23_2904.txt
2023-12-15_1743.txt,9,2023-12-15_1743.txt
2023-11-02_2652.txt,9,2023-11-02_2652.txt
2023-10-17_3060.txt,9,2023-10-17_3060.txt
2023-11-23_2138.txt,9,2023-11-23_2138.txt
2023-10-11_3219.txt,9,2023-10-11_3219.txt
2023-10-28_2783.txt,9,2023-10-28_2783.txt
2023-11-07_2512.txt,9,2023-11-07_2512.txt
2023-07-28_3396.txt,9,2023-07-28_3396.txt
2023-10-31_2682.txt,9,2023-10-31_2682.txt
2023-10-16_3107.txt,9,2023-10-16_3107.txt
2023-08-09_3385.txt,9,2023-08-09_3385.txt
2023-11-03_2623.txt,9,2023-11-03_2623.txt
2023-07-13_3425.txt,9,2023-07-13_3425.txt
2023-10-10_3258.txt,9,2023-10-10_3258.txt
2023-10-13_3139.txt,9,2023-10-13_3139.txt
2023-10-02_3317.txt,9,2023-10-02_3317.txt
2023-11-16_2290.txt,9,2023-11-16_2290.txt
2023-10-27_2797.txt,9,2023-10-27_2797.txt
2023-11-20_2209.txt,9,2023-11-20_2209.txt
2023-11-08_2499.txt,9,2023-11-08_2499.txt
2024-01-04_1503.txt,9,2024-01-04_1503.txt
2024-01-15_1388.txt,9,2024-01-15_1388.txt
2024-01-22_1311.txt,9,2024-01-22_1311.txt
2024-01-11_1440.txt,9,2024-01-11_1440.txt
2024-01-29_1232.txt,9,2024-01-29_1232.txt
2024-02-16_1063.txt,9,2024-02-16_1063.txt
2024-01-05_1495.txt,9,2024-01-05_1495.txt
2024-01-26_1270.txt,9,2024-01-26_1270.txt
2024-01-19_1345.txt,9,2024-01-19_1345.txt
2024-01-10_1453.txt,9,2024-01-10_1453.txt
2024-02-08_1150.txt,9,2024-02-08_1150.txt
2024-01-12_1421.txt,9,2024-01-12_1421.txt
2024-01-31_1219.txt,9,2024-01-31_1219.txt
2024-02-12_1116.txt,9,2024-02-12_1116.txt
2023-09-06_3346.txt,9,2023-09-06_3346.txt
2023-10-30_2740.txt,9,2023-10-30_2740.txt
2024-02-19_1023.txt,9,2024-02-19_1023.txt
2024-02-21_996.txt,9,2024-02-21_996.txt
2024-03-11_387.txt,9,2024-03-11_387.txt
2024-02-22_983.txt,9,2024-02-22_983.txt
2024-02-28_914.txt,9,2024-02-28_914.txt
2024-03-07_824.txt,9,2024-03-07_824.txt
2024-03-20_306.txt,9,2024-03-20_306.txt
2024-03-01_892.txt,9,2024-03-01_892.txt
2023-10-19_3000.txt,9,2023-10-19_3000.txt
2023-06-23_3484.txt,9,2023-06-23_3484.txt
2023-10-18_3042.txt,9,2023-10-18_3042.txt
2024-03-21_295.txt,9,2024-03-21_295.txt
2024-03-27_245.txt,9,2024-03-27_245.txt
2024-03-28_229.txt,9,2024-03-28_229.txt
2024-04-03_160.txt,9,2024-04-03_160.txt
2023-10-09_3270.txt,67,2023-10-09_3270.txt
2023-10-16_3076.txt,67,2023-10-16_3076.txt
2023-05-11_3584.txt,52,2023-05-11_3584.txt
2024-01-14_1402.txt,52,2024-01-14_1402.txt
2023-04-07_3641.txt,26,2023-04-07_3641.txt
2023-02-23_3717.txt,52,2023-02-23_3717.txt
2023-12-07_1884.txt,15,2023-12-07_1884.txt
2021-05-21_4625.txt,5,2021-05-21_4625.txt
2023-04-02_3662.txt,7,2023-04-02_3662.txt
2022-06-30_4072.txt,50,2022-06-30_4072.txt
2021-07-23_4441.txt,50,2021-07-23_4441.txt
2021-08-03_4428.txt,50,2021-08-03_4428.txt
2022-05-13_4171.txt,17,2022-05-13_4171.txt
2021-07-20_4443.txt,50,2021-07-20_4443.txt
2021-07-30_4434.txt,50,2021-07-30_4434.txt
2024-03-29_224.txt,22,2024-03-29_224.txt
2023-10-18_3034.txt,16,2023-10-18_3034.txt
2022-05-15_4157.txt,70,2022-05-15_4157.txt
2023-12-19_1690.txt,38,2023-12-19_1690.txt
2023-12-30_1559.txt,38,2023-12-30_1559.txt
2023-12-24_1625.txt,38,2023-12-24_1625.txt
2023-12-20_1679.txt,38,2023-12-20_1679.txt
2023-12-25_1615.txt,38,2023-12-25_1615.txt
2023-12-21_1667.txt,38,2023-12-21_1667.txt
2023-12-22_1650.txt,38,2023-12-22_1650.txt
2024-03-27_246.txt,46,2024-03-27_246.txt
2024-04-17_17.txt,32,2024-04-17_17.txt
2024-03-26_254.txt,46,2024-03-26_254.txt
2024-02-27_934.txt,72,2024-02-27_934.txt
2024-04-16_23.txt,32,2024-04-16_23.txt
2024-04-07_116.txt,68,2024-04-07_116.txt
2024-02-23_977.txt,72,2024-02-23_977.txt
2024-03-29_220.txt,46,2024-03-29_220.txt
2024-02-22_989.txt,72,2024-02-22_989.txt
2024-03-30_214.txt,46,2024-03-30_214.txt
2024-04-11_71.txt,32,2024-04-11_71.txt
2024-04-09_94.txt,56,2024-04-09_94.txt
2024-04-17_18.txt,64,2024-04-17_18.txt
2024-04-06_125.txt,32,2024-04-06_125.txt
2024-02-24_965.txt,72,2024-02-24_965.txt
2024-02-28_919.txt,72,2024-02-28_919.txt
2024-04-15_33.txt,69,2024-04-15_33.txt
2024-03-28_234.txt,46,2024-03-28_234.txt
2024-01-26_1275.txt,32,2024-01-26_1275.txt
2024-01-29_1239.txt,78,2024-01-29_1239.txt
2023-11-21_2192.txt,43,2023-11-21_2192.txt
2023-11-17_2269.txt,43,2023-11-17_2269.txt
2024-02-21_1003.txt,55,2024-02-21_1003.txt
2024-03-06_847.txt,67,2024-03-06_847.txt
2024-03-15_353.txt,55,2024-03-15_353.txt
2023-11-13_2379.txt,62,2023-11-13_2379.txt
2023-11-27_2075.txt,26,2023-11-27_2075.txt
2023-11-04_2595.txt,55,2023-11-04_2595.txt
2023-12-20_1681.txt,63,2023-12-20_1681.txt
2023-11-01_2681.txt,55,2023-11-01_2681.txt
2023-11-22_2180.txt,62,2023-11-22_2180.txt
2023-11-23_2154.txt,26,2023-11-23_2154.txt
2023-12-27_1592.txt,26,2023-12-27_1592.txt
2023-12-04_1942.txt,52,2023-12-04_1942.txt
2023-12-22_1653.txt,52,2023-12-22_1653.txt
2024-04-14_45.txt,26,2024-04-14_45.txt
2024-01-12_1431.txt,64,2024-01-12_1431.txt
2024-02-12_1123.txt,63,2024-02-12_1123.txt
2024-03-01_899.txt,63,2024-03-01_899.txt
2023-10-31_2703.txt,49,2023-10-31_2703.txt
2023-10-28_2786.txt,55,2023-10-28_2786.txt
2024-04-10_76.txt,9,2024-04-10_76.txt
2024-04-05_131.txt,9,2024-04-05_131.txt
2023-10-17_3046.txt,67,2023-10-17_3046.txt
2023-05-13_3567.txt,52,2023-05-13_3567.txt
2024-01-29_1234.txt,52,2024-01-29_1234.txt
2023-10-09_3285.txt,67,2023-10-09_3285.txt
2023-05-10_3585.txt,26,2023-05-10_3585.txt
2023-12-07_1890.txt,15,2023-12-07_1890.txt
2022-08-07_4022.txt,5,2022-08-07_4022.txt
2023-04-03_3658.txt,7,2023-04-03_3658.txt
2022-08-22_3985.txt,50,2022-08-22_3985.txt
2022-05-13_4175.txt,17,2022-05-13_4175.txt
2021-08-02_4432.txt,50,2021-08-02_4432.txt
2024-04-02_183.txt,22,2024-04-02_183.txt
2023-11-03_2596.txt,16,2023-11-03_2596.txt
2023-01-04_3810.txt,70,2023-01-04_3810.txt
